City,Country,Month,Day,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,Air_Quality_Category,Monthly_Avg_Temperature,Monthly_Avg_Wind_Speed,HasRained,Is_Stagnant,Dispersion_Index
Bangkok,Thailand,3,19,86.57,25.19,99.88,30.63,4.46,36.29,17.67,59.35,13.76,167.04246575342466,Unhealthy,13.32,10.64,false,false,8.64
Istanbul,Turkey,2,16,50.63,97.39,48.14,8.71,3.4,144.16,3.46,67.51,6.36,138.25477386934674,Poor,9.58,10.91,false,false,3.8
Rio de Janeiro,Brazil,11,13,130.21,57.22,98.51,9.92,0.12,179.31,25.29,29.3,12.87,189.57523709167543,Unhealthy,11.39,11.28,false,false,9.95
Mumbai,India,3,16,119.7,130.52,10.96,33.03,7.74,38.65,23.15,99.97,7.71,184.1485774499473,Unhealthy,14.48,10.05,false,false,3.86
Paris,France,4,4,55.2,36.62,76.85,21.85,2.0,67.09,16.02,90.28,14.16,149.50753768844223,Poor,17.71,9.55,true,false,7.44
Los Angeles,USA,1,5,121.28,196.39,86.17,28.74,2.64,46.86,18.53,43.01,3.96,184.96438356164384,Unhealthy,15.53,11.57,false,false,2.77
Tokyo,Japan,9,17,118.76,15.69,12.99,39.05,3.04,15.75,-1.37,17.76,17.66,183.6632244467861,Unhealthy,12.22,11.61,false,false,15.0
New York,USA,11,23,72.52,23.43,92.01,15.26,4.57,106.5,32.14,76.57,9.42,159.78798735511063,Unhealthy,13.37,8.96,false,false,5.33
Tokyo,Japan,9,21,131.46,145.57,10.13,25.1,9.08,181.72,-6.2,71.42,16.81,190.22065331928343,Unhealthy,12.22,11.61,false,false,9.81
London,UK,9,13,64.71,92.84,92.98,36.4,3.68,88.44,19.8,45.92,2.56,155.7554267650158,Unhealthy,18.45,10.68,false,false,1.75
Rio de Janeiro,Brazil,9,11,90.0,198.93,38.1,31.19,8.11,26.21,28.07,65.74,13.45,168.81348788198102,Unhealthy,18.36,10.61,false,false,8.12
Rio de Janeiro,Brazil,4,26,17.13,139.82,73.14,15.31,1.09,140.73,2.07,29.88,1.85,92.98161616161616,Moderate,12.04,9.42,false,false,1.42
Mumbai,India,8,28,65.36,133.71,67.95,22.34,7.46,156.39,-4.71,57.95,13.95,156.09104320337198,Unhealthy,14.73,9.18,false,false,8.83
Seoul,South Korea,1,13,57.67,125.1,72.26,44.36,2.08,118.49,-4.38,41.01,19.08,152.1204425711275,Unhealthy,11.62,10.14,false,false,13.53
Cairo,Egypt,6,18,59.3,133.7,50.14,3.48,8.96,43.33,9.14,47.53,15.13,152.96206533192836,Unhealthy,14.84,9.89,false,false,10.26
Paris,France,5,15,135.69,165.03,30.31,32.65,6.39,130.56,15.54,31.64,14.15,192.4047418335089,Unhealthy,15.58,10.58,false,false,10.75
Cairo,Egypt,7,24,47.14,49.91,78.01,35.11,5.85,30.43,-0.89,18.73,10.85,129.66130653266333,Poor,14.35,9.43,false,false,9.14
Mexico City,Mexico,1,26,82.4,196.86,20.76,47.75,9.57,21.74,29.97,68.17,10.87,164.88935721812436,Unhealthy,14.83,10.6,false,false,6.46
Istanbul,Turkey,6,7,12.24,16.91,62.96,2.67,4.51,90.01,22.86,44.7,11.27,60.54434782608696,Moderate,19.22,9.91,false,false,7.79
Berlin,Germany,11,2,87.33,186.95,5.26,12.98,4.48,75.76,17.93,37.55,9.89,167.43487881981034,Unhealthy,13.73,10.82,false,false,7.19
Bangkok,Thailand,10,25,117.5,78.71,65.64,23.42,6.84,172.34,7.16,53.45,14.53,183.0126448893572,Unhealthy,12.07,9.94,false,false,9.47
Beijing,China,10,26,39.98,47.38,84.35,44.59,4.92,138.44,15.74,83.78,12.57,112.03115577889446,Poor,10.72,11.15,false,false,6.84
Sydney,Australia,7,3,137.09,180.61,6.26,14.89,5.17,113.12,27.42,11.51,9.84,193.12760800843,Unhealthy,14.3,9.01,false,false,8.82
Dubai,UAE,4,21,80.56,129.36,18.31,12.31,9.08,91.59,20.92,26.16,18.17,163.93930453108536,Unhealthy,13.2,11.62,false,false,14.4
New York,USA,6,26,82.4,80.55,91.9,46.52,0.27,146.03,30.84,49.96,17.45,164.88935721812436,Unhealthy,15.78,9.84,false,false,11.64
Seoul,South Korea,1,22,96.03,170.57,18.43,20.3,0.55,141.03,-4.44,74.21,17.44,171.92697576396208,Unhealthy,11.62,10.14,false,false,10.01
Istanbul,Turkey,8,19,20.37,119.29,18.03,31.37,2.86,140.94,-3.15,43.84,10.72,82.82030303030304,Moderate,15.01,8.76,false,false,7.45
Toronto,Canada,3,13,63.18,196.52,29.87,3.01,6.29,98.83,10.36,50.88,9.06,154.9654373024236,Unhealthy,12.39,10.73,false,false,6.0
Istanbul,Turkey,1,8,54.08,58.74,81.4,39.68,5.06,26.49,22.44,13.01,13.98,146.74974874371858,Poor,14.26,10.42,false,false,12.37
Berlin,Germany,11,4,47.57,127.09,55.6,46.79,3.64,58.87,13.58,72.38,7.12,130.72010050251257,Poor,13.73,10.82,false,false,4.13
Rio de Janeiro,Brazil,4,4,84.59,41.29,96.59,46.31,9.14,105.35,37.41,26.21,18.6,166.02012644889356,Unhealthy,12.04,9.42,false,false,14.74
Seoul,South Korea,1,14,47.79,38.17,39.92,35.19,6.69,13.69,7.0,26.77,13.1,131.26180904522613,Poor,11.62,10.14,false,false,10.33
Mexico City,Mexico,5,8,120.9,33.7,97.53,9.28,5.67,191.24,22.76,66.9,6.25,184.76817702845105,Unhealthy,14.2,11.91,false,false,3.74
Madrid,Spain,6,28,61.28,163.36,40.2,19.43,3.64,128.34,10.56,79.73,2.6,153.98440463645943,Unhealthy,17.11,8.79,false,false,1.45
Los Angeles,USA,7,17,56.85,174.8,56.22,13.99,7.85,196.95,24.84,57.9,4.97,151.69704952581665,Unhealthy,13.6,11.1,false,false,3.15
London,UK,7,6,53.81,196.76,38.28,15.76,9.3,54.07,21.17,93.67,4.6,146.0849246231156,Poor,14.74,9.75,false,false,2.38
Los Angeles,USA,7,15,149.74,50.31,31.21,28.64,8.16,19.81,2.64,18.87,16.16,199.65922023182296,Unhealthy,13.6,11.1,false,false,13.59
Toronto,Canada,9,28,72.01,191.78,95.75,21.45,2.42,181.34,10.24,42.57,12.95,159.5246575342466,Unhealthy,16.8,11.04,false,false,9.08
New York,USA,10,12,62.34,38.48,57.36,32.1,2.58,154.98,37.45,48.65,17.61,154.53171759747102,Unhealthy,14.43,10.45,false,false,11.85
Bangkok,Thailand,3,13,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29,198.0895679662803,Unhealthy,13.32,10.64,false,false,1.9
Madrid,Spain,5,26,29.11,43.8,58.04,4.54,5.25,137.61,18.7,72.8,3.03,86.77210300429185,Moderate,11.02,9.85,false,false,1.75
Mexico City,Mexico,8,18,51.47,137.97,97.83,3.45,7.12,194.18,-3.68,43.75,13.95,140.32311557788944,Poor,11.58,10.47,false,false,9.7
Dubai,UAE,11,3,115.42,112.95,32.17,25.88,1.52,59.51,-0.28,31.98,9.91,181.9386722866175,Unhealthy,13.53,10.59,false,false,7.51
