,Unnamed: 0,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,HasRained,Is_Stagnant,Dispersion_Index,Air_Quality_Category
0,0,86.57,25.19,99.88,30.63,4.46,36.29,17.67,59.35,13.76,167.04246575342466,False,False,8.64,Unhealthy
1,1,50.63,97.39,48.14,8.71,3.4,144.16,3.46,67.51,6.36,138.25477386934674,False,False,3.8,Poor
2,2,130.21,57.22,98.51,9.92,0.12,179.31,25.29,29.3,12.87,189.57523709167543,False,False,9.95,Unhealthy
3,3,119.7,130.52,10.96,33.03,7.74,38.65,23.15,99.97,7.71,184.1485774499473,False,False,3.86,Unhealthy
4,4,55.2,36.62,76.85,21.85,2.0,67.09,16.02,90.28,14.16,149.50753768844223,True,False,7.44,Poor
5,5,121.28,196.39,86.17,28.74,2.64,46.86,18.53,43.01,3.96,184.96438356164384,False,False,2.77,Unhealthy
6,6,118.76,15.69,12.99,39.05,3.04,15.75,-1.37,17.76,17.66,183.6632244467861,False,False,15.0,Unhealthy
7,7,72.52,23.43,92.01,15.26,4.57,106.5,32.14,76.57,9.42,159.78798735511063,False,False,5.33,Unhealthy
8,8,131.46,145.57,10.13,25.1,9.08,181.72,-6.2,71.42,16.81,190.22065331928343,False,False,9.81,Unhealthy
9,9,64.71,92.84,92.98,36.4,3.68,88.44,19.8,45.92,2.56,155.7554267650158,False,False,1.75,Unhealthy
10,10,90.0,198.93,38.1,31.19,8.11,26.21,28.07,65.74,13.45,168.81348788198102,False,False,8.12,Unhealthy
11,11,17.13,139.82,73.14,15.31,1.09,140.73,2.07,29.88,1.85,92.98161616161616,False,False,1.42,Moderate
12,12,65.36,133.71,67.95,22.34,7.46,156.39,-4.71,57.95,13.95,156.09104320337198,False,False,8.83,Unhealthy
13,13,57.67,125.1,72.26,44.36,2.08,118.49,-4.38,41.01,19.08,152.1204425711275,False,False,13.53,Unhealthy
14,14,59.3,133.7,50.14,3.48,8.96,43.33,9.14,47.53,15.13,152.96206533192836,False,False,10.26,Unhealthy
15,15,135.69,165.03,30.31,32.65,6.39,130.56,15.54,31.64,14.15,192.4047418335089,False,False,10.75,Unhealthy
16,16,47.14,49.91,78.01,35.11,5.85,30.43,-0.89,18.73,10.85,129.66130653266333,False,False,9.14,Poor
17,17,82.4,196.86,20.76,47.75,9.57,21.74,29.97,68.17,10.87,164.88935721812436,False,False,6.46,Unhealthy
18,18,12.24,16.91,62.96,2.67,4.51,90.01,22.86,44.7,11.27,60.54434782608696,False,False,7.79,Moderate
19,19,87.33,186.95,5.26,12.98,4.48,75.76,17.93,37.55,9.89,167.43487881981034,False,False,7.19,Unhealthy
20,20,117.5,78.71,65.64,23.42,6.84,172.34,7.16,53.45,14.53,183.0126448893572,False,False,9.47,Unhealthy
21,21,39.98,47.38,84.35,44.59,4.92,138.44,15.74,83.78,12.57,112.03115577889446,False,False,6.84,Poor
22,22,137.09,180.61,6.26,14.89,5.17,113.12,27.42,11.51,9.84,193.12760800843,False,False,8.82,Unhealthy
23,23,80.56,129.36,18.31,12.31,9.08,91.59,20.92,26.16,18.17,163.93930453108536,False,False,14.4,Unhealthy
24,24,82.4,80.55,91.9,46.52,0.27,146.03,30.84,49.96,17.45,164.88935721812436,False,False,11.64,Unhealthy
25,25,96.03,170.57,18.43,20.3,0.55,141.03,-4.44,74.21,17.44,171.92697576396208,False,False,10.01,Unhealthy
26,26,20.37,119.29,18.03,31.37,2.86,140.94,-3.15,43.84,10.72,82.82030303030304,False,False,7.45,Moderate
27,27,63.18,196.52,29.87,3.01,6.29,98.83,10.36,50.88,9.06,154.9654373024236,False,False,6.0,Unhealthy
28,28,54.08,58.74,81.4,39.68,5.06,26.49,22.44,13.01,13.98,146.74974874371858,False,False,12.37,Poor
29,29,47.57,127.09,55.6,46.79,3.64,58.87,13.58,72.38,7.12,130.72010050251257,False,False,4.13,Poor
30,30,84.59,41.29,96.59,46.31,9.14,105.35,37.41,26.21,18.6,166.02012644889356,False,False,14.74,Unhealthy
31,31,47.79,38.17,39.92,35.19,6.69,13.69,7.0,26.77,13.1,131.26180904522613,False,False,10.33,Poor
32,32,120.9,33.7,97.53,9.28,5.67,191.24,22.76,66.9,6.25,184.76817702845105,False,False,3.74,Unhealthy
33,33,61.28,163.36,40.2,19.43,3.64,128.34,10.56,79.73,2.6,153.98440463645943,False,False,1.45,Unhealthy
34,34,56.85,174.8,56.22,13.99,7.85,196.95,24.84,57.9,4.97,151.69704952581665,False,False,3.15,Unhealthy
35,35,53.81,196.76,38.28,15.76,9.3,54.07,21.17,93.67,4.6,146.0849246231156,False,False,2.38,Poor
36,36,149.74,50.31,31.21,28.64,8.16,19.81,2.64,18.87,16.16,199.65922023182296,False,False,13.59,Unhealthy
37,37,72.01,191.78,95.75,21.45,2.42,181.34,10.24,42.57,12.95,159.5246575342466,False,False,9.08,Unhealthy
38,38,62.34,38.48,57.36,32.1,2.58,154.98,37.45,48.65,17.61,154.53171759747102,False,False,11.85,Unhealthy
39,39,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29,198.0895679662803,False,False,1.9,Unhealthy
40,40,29.11,43.8,58.04,4.54,5.25,137.61,18.7,72.8,3.03,86.77210300429185,False,False,1.75,Moderate
41,41,51.47,137.97,97.83,3.45,7.12,194.18,-3.68,43.75,13.95,140.32311557788944,False,False,9.7,Poor
42,42,115.42,112.95,32.17,25.88,1.52,59.51,-0.28,31.98,9.91,181.9386722866175,False,False,7.51,Unhealthy
43,43,62.02,110.1,81.69,38.72,7.55,93.17,16.39,53.11,19.18,154.36649104320338,False,False,12.53,Unhealthy
44,44,107.32,60.56,54.25,9.31,5.85,53.98,-9.3,95.38,16.97,177.7563751317176,True,False,8.69,Unhealthy
45,45,109.42,144.32,88.74,36.56,2.02,188.95,3.99,72.9,2.0,178.84067439409904,False,False,1.16,Unhealthy
46,46,67.97,114.57,11.57,34.89,1.6,46.13,2.36,94.86,3.01,157.4386722866175,False,False,1.54,Unhealthy
47,47,35.41,134.39,6.99,5.4,0.77,134.92,28.65,49.11,7.49,90.2940404040404,False,False,5.02,Moderate
48,48,53.54,101.44,96.54,21.05,3.31,187.25,10.27,95.18,3.96,145.42010050251258,False,False,2.03,Poor
49,49,117.95,93.33,24.62,5.84,7.3,161.08,11.33,16.16,6.77,183.2449947312961,False,False,5.83,Unhealthy
50,50,24.11,168.42,57.92,23.16,8.35,178.71,1.37,70.73,0.56,107.64222222222222,False,False,0.33,Poor
51,51,138.71,29.36,56.09,32.84,9.67,106.91,11.45,67.73,14.08,193.96406743940992,False,False,8.39,Unhealthy
52,52,11.79,147.53,18.63,25.38,5.34,31.37,-8.57,98.65,16.23,96.79767676767676,True,False,8.17,Moderate
53,53,18.33,114.51,35.85,22.13,9.76,134.35,22.23,45.8,8.86,105.39310344827584,False,False,6.08,Poor
54,54,135.47,105.67,10.03,6.66,5.58,70.22,27.81,95.91,17.88,192.29114857745,False,False,9.13,Unhealthy
55,55,146.96,199.41,58.71,9.74,5.75,45.52,6.57,35.93,17.16,198.2238145416228,False,False,12.62,Unhealthy
56,56,40.46,44.61,62.05,27.29,1.59,110.95,16.05,10.7,1.73,113.21306532663316,False,False,1.56,Poor
