Region,Country,City,avg_temperature_2017,avg_temperature_2018,avg_temperature_2019,avg_temperature_2020,avg_aqi_2020,avg_aqi_2019,avg_aqi_2018,avg_aqi_2017,avg_temperature_2023,avg_aqi_2023
Asia,China,Beijing,56.45701676907322,53.995317460317466,53.84523617511521,47.315456832377855,37.5,42.1,50.9,58.8,15.74,160.0
Asia,Japan,Tokyo,61.553529185867895,61.66748655913978,60.12628200204813,54.547299506574255,10.1,11.7,13.1,13.0,-1.37,475.0
Asia,South Korea,Seoul,54.00688364055299,51.979484126984126,52.46252432155658,45.82350041356493,20.9,24.8,23.3,25.2,-4.38,250.0
Australia/South Pacific,Australia,Sydney,58.97705709165387,57.32470174091142,56.54742191500256,61.26988887938165,4.8,4.9,4.6,6.5,27.42,548.0
Europe,France,Paris,54.30989375320021,45.78647145417307,52.184551331285206,49.97224443113432,12.2,14.7,15.6,15.4,16.02,221.0
Europe,Russia,Moscow,42.34757936507936,40.96432347670251,42.77522785458269,38.74820415846667,10.5,10.0,10.1,8.4,24.1,334.0
Europe,Spain,Madrid,60.74973822324628,57.77270353302612,57.95988287250384,52.43164701520208,9.0,9.2,10.0,9.9,10.56,327.0
Europe,United Kingdom,London,53.49238095238096,52.12783858166923,50.9868407578085,48.774380993126265,9.6,11.4,12.0,12.7,19.8,259.0
North America,Mexico,Mexico City,63.30350422427035,61.00378904249872,61.99711725550435,65.20248312940305,18.8,20.5,19.7,20.4,29.97,394.0
North America,US,Los Angeles,64.24372631848438,64.41469982078853,63.27413658474143,62.04507395681812,17.0,21.7,21.6,24.1,18.53,485.0
North America,United States,New York,79.73,55.05,70.28,73.14,32.48,88.1,91.71,30.04,44.27,95.73
North America,United States,Los Angeles,65.0,82.11,74.02,52.07,98.21,31.62,86.12,46.75,61.72,43.02
Europe,United Kingdom,London,78.97,80.66,65.46,79.61,92.7,87.04,81.06,51.78,72.36,141.49
Europe,Germany,Berlin,50.7,80.25,78.81,66.94,48.86,53.66,58.13,31.47,89.99,122.53
Europe,Spain,Madrid,58.95,84.36,70.76,51.04,41.47,43.0,58.23,37.87,43.83,33.25
Europe,Italy,Rome,75.49,59.8,81.97,82.36,47.37,44.56,70.87,33.11,70.1,103.45
Europe,Russia,Moscow,69.49,64.2,57.81,56.37,89.78,37.34,44.82,72.21,45.31,137.94
South America,Brazil,São Paulo,65.98,54.72,60.59,75.4,72.25,74.07,49.66,48.29,44.86,26.51
South America,Argentina,Buenos Aires,67.33,52.2,52.49,74.05,69.67,56.0,48.16,51.32,85.11,183.04
Africa,South Africa,Cape Town,83.83,66.89,50.05,75.32,34.91,78.69,33.91,64.77,43.29,65.33
Africa,Egypt,Cairo,55.94,80.42,65.13,83.62,85.49,54.9,32.67,38.66,44.11,87.3
Asia,India,Delhi,67.85,65.56,60.01,76.32,96.78,93.3,38.13,48.29,55.69,136.93
Asia,India,Mumbai,57.68,61.11,72.25,58.74,48.84,83.74,60.97,74.63,39.74,56.68
Asia,Thailand,Bangkok,63.04,72.5,60.39,60.25,74.39,50.19,88.64,79.87,88.91,81.26
Asia,Singapore,Singapore,78.18,65.0,78.16,50.15,63.74,42.38,56.79,96.03,83.25,35.41
Australia/South Pacific,Australia,Sydney,62.68,75.68,70.78,53.91,70.77,83.96,74.07,62.29,40.02,66.24
Australia/South Pacific,Australia,Melbourne,51.11,61.72,59.36,53.77,82.4,47.31,43.6,98.37,50.62,106.46
Australia/South Pacific,New Zealand,Wellington,75.47,68.2,63.37,76.22,49.69,67.15,94.67,39.14,45.97,129.02
North America,Canada,Toronto,84.55,79.38,76.01,63.63,87.18,65.25,59.78,94.83,43.42,129.1
North America,Canada,Vancouver,74.24,74.68,58.66,61.93,76.95,95.84,31.36,78.33,42.79,115.86
North America,Mexico,Mexico City,77.22,80.26,80.27,57.48,46.78,53.61,97.96,42.16,31.8,178.97
South America,Peru,Lima,65.1,54.8,56.17,72.21,49.82,55.62,68.54,75.24,89.21,18.88
South America,Chile,Santiago,75.78,67.24,59.31,69.72,68.06,91.49,96.92,48.78,68.9,75.87
Europe,Portugal,Lisbon,81.45,74.8,81.79,81.27,45.83,61.47,56.75,58.8,56.73,139.6
Europe,France,Paris,71.32,76.61,55.35,56.62,59.99,41.48,99.16,44.01,42.92,92.29
Europe,Netherlands,Amsterdam,68.48,68.65,61.59,71.2,37.88,60.61,97.78,77.35,53.81,133.47
Europe,Norway,Oslo,62.18,56.19,52.2,75.65,75.0,45.46,89.27,37.93,54.83,104.5
Europe,Finland,Helsinki,61.8,71.36,50.52,77.76,52.78,77.96,95.62,45.92,49.42,167.43
Europe,Denmark,Copenhagen,65.95,75.75,82.18,73.42,39.08,59.06,83.27,71.33,41.38,16.16
