Unnamed: 0,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_PM2.5,AQI_PM10,AQI_O3,AQI_CO,AQI_SO2,AQI_NO2,Air_Quality,Air_Quality_Category,Year,Month,Day,Monthly_Avg_Temperature,Monthly_Avg_Wind_Speed
0,Bangkok,Thailand,86.57,25.19,99.88,30.63,4.46,36.29,17.67,59.35,13.76,167.04246575342466,23.32407407407408,,,43.75714285714286,99.87217391304348,167.04246575342466,Unhealthy,2023,3,19,13.32,10.64
1,Istanbul,Turkey,50.63,97.39,48.14,8.71,3.4,144.16,3.46,67.51,6.36,138.25477386934674,71.9809090909091,,38.63636363636363,12.442857142857145,45.41509433962264,138.25477386934674,Poor,2023,2,16,9.58,10.91
2,Rio de Janeiro,Brazil,130.21,57.22,98.51,9.92,0.12,179.31,25.29,29.3,12.87,189.57523709167543,52.09878787878788,,1.3636363636363635,14.17142857142857,98.41282608695651,189.57523709167543,Unhealthy,2023,11,13,11.39,11.28
3,Mumbai,India,119.7,130.52,10.96,33.03,7.74,38.65,23.15,99.97,7.71,184.1485774499473,88.37858585858586,,83.4,47.18571428571429,10.339622641509434,184.1485774499473,Unhealthy,2023,3,16,14.48,10.05
4,Paris,France,55.2,36.62,76.85,21.85,2.0,67.09,16.02,90.28,14.16,149.50753768844223,33.907407407407405,,22.727272727272727,31.214285714285715,75.34021739130435,149.50753768844223,Poor,2023,4,4,17.71,9.55
5,Los Angeles,USA,121.28,196.39,86.17,28.74,2.64,46.86,18.53,43.01,3.96,184.96438356164384,121.4859595959596,,30.0,41.05714285714286,85.26804347826086,184.96438356164384,Unhealthy,2023,1,5,15.53,11.57
6,Tokyo,Japan,118.76,15.69,12.99,39.05,3.04,15.75,-1.37,17.76,17.66,183.6632244467861,14.527777777777777,,34.54545454545455,54.83205128205128,12.254716981132075,183.6632244467861,Unhealthy,2023,9,17,12.22,11.61
7,New York,USA,72.52,23.43,92.01,15.26,4.57,106.5,32.14,76.57,9.42,159.78798735511063,21.694444444444443,,51.7,21.8,91.48891304347828,159.78798735511063,Unhealthy,2023,11,23,13.37,8.96
8,Tokyo,Japan,131.46,145.57,10.13,25.1,9.08,181.72,-6.2,71.42,16.81,190.22065331928343,95.82757575757576,,96.8,35.85714285714286,9.556603773584907,190.22065331928343,Unhealthy,2023,9,21,12.22,11.61
9,London,UK,64.71,92.84,92.98,36.4,3.68,88.44,19.8,45.92,2.56,155.7554267650158,69.72888888888889,,41.81818181818182,51.5025641025641,92.52217391304347,155.7554267650158,Unhealthy,2023,9,13,18.45,10.68
10,Rio de Janeiro,Brazil,90.0,198.93,38.1,31.19,8.11,26.21,28.07,65.74,13.45,168.81348788198102,122.74313131313131,,87.1,44.55714285714286,35.943396226415096,168.81348788198102,Unhealthy,2023,9,11,18.36,10.61
11,Rio de Janeiro,Brazil,17.13,139.82,73.14,15.31,1.09,140.73,2.07,29.88,1.85,61.57811158798283,92.98161616161616,,12.386363636363637,21.871428571428574,71.38826086956522,92.98161616161616,Moderate,2023,4,26,12.04,9.42
12,Mumbai,India,65.36,133.71,67.95,22.34,7.46,156.39,-4.71,57.95,13.95,156.09104320337198,89.95747474747475,,80.6,31.914285714285715,65.85978260869565,156.09104320337198,Unhealthy,2023,8,28,14.73,9.18
13,Seoul,South Korea,57.67,125.1,72.26,44.36,2.08,118.49,-4.38,41.01,19.08,152.1204425711275,85.6959595959596,,23.63636363636364,61.50358974358974,70.4508695652174,152.1204425711275,Unhealthy,2023,1,13,11.62,10.14
14,Cairo,Egypt,59.3,133.7,50.14,3.48,8.96,43.33,9.14,47.53,15.13,152.96206533192836,89.95252525252525,,95.6,4.971428571428572,47.301886792452834,152.96206533192836,Unhealthy,2023,6,18,14.84,9.89
15,Paris,France,135.69,165.03,30.31,32.65,6.39,130.56,15.54,31.64,14.15,192.40474183350892,105.96434343434343,,69.9,46.64285714285714,28.59433962264151,192.40474183350892,Unhealthy,2023,5,15,15.58,10.58
16,Cairo,Egypt,47.14,49.91,78.01,35.11,5.85,30.43,-0.89,18.73,10.85,129.66130653266333,46.21296296296296,,64.5,,76.5758695652174,129.66130653266333,Poor,2023,7,24,14.35,9.43
17,Mexico City,Mexico,82.4,196.86,20.76,47.75,9.57,21.74,29.97,68.17,10.87,164.88935721812436,121.71858585858588,,102.18275862068964,65.76282051282051,19.58490566037736,164.88935721812436,Unhealthy,2023,1,26,14.83,10.6
18,Istanbul,Turkey,12.24,16.91,62.96,2.67,4.51,90.01,22.86,44.7,11.27,51.29442060085837,15.657407407407408,,51.1,3.814285714285714,60.54434782608696,60.54434782608696,Moderate,2023,6,7,19.22,9.91
19,Berlin,Germany,87.33,186.95,5.26,12.98,4.48,75.76,17.93,37.55,9.89,167.43487881981034,116.81363636363636,,,18.542857142857144,4.962264150943396,167.43487881981034,Unhealthy,2023,11,2,13.73,10.82
20,Bangkok,Thailand,117.5,78.71,65.64,23.42,6.84,172.34,7.16,53.45,14.53,183.0126448893572,62.73525252525252,,74.4,33.45714285714286,63.399130434782606,183.0126448893572,Unhealthy,2023,10,25,12.07,9.94
21,Beijing,China,39.98,47.38,84.35,44.59,4.92,138.44,15.74,83.78,12.57,112.03115577889446,43.87037037037037,,55.2,61.79256410256411,83.32934782608694,112.03115577889446,Poor,2023,10,26,10.72,11.15
22,Sydney,Australia,137.09,180.61,6.26,14.89,5.17,113.12,27.42,11.51,9.84,193.12760800842997,113.67565656565657,,57.7,21.27142857142857,5.90566037735849,193.12760800842997,Unhealthy,2023,7,3,14.3,9.01
23,Dubai,UAE,80.56,129.36,18.31,12.31,9.08,91.59,20.92,26.16,18.17,163.93930453108536,87.80444444444444,,96.8,17.585714285714285,17.273584905660375,163.93930453108536,Unhealthy,2023,4,21,13.2,11.62
24,New York,USA,82.4,80.55,91.9,46.52,0.27,146.03,30.84,49.96,17.45,164.88935721812436,63.6459595959596,,3.0681818181818183,64.2174358974359,91.3717391304348,164.88935721812436,Unhealthy,2023,6,26,15.78,9.84
25,Seoul,South Korea,96.03,170.57,18.43,20.3,0.55,141.03,-4.44,74.21,17.44,171.92697576396208,108.70636363636363,,6.25,29.0,17.38679245283019,171.92697576396208,Unhealthy,2023,1,22,11.62,10.14
26,Istanbul,Turkey,20.37,119.29,18.03,31.37,2.86,140.94,-3.15,43.84,10.72,68.39184549356224,82.82030303030304,,32.5,44.81428571428572,17.00943396226415,82.82030303030304,Moderate,2023,8,19,15.01,8.76
27,Toronto,Canada,63.18,196.52,29.87,3.01,6.29,98.83,10.36,50.88,9.06,154.9654373024236,121.55030303030304,,68.9,4.3,28.17924528301887,154.9654373024236,Unhealthy,2023,3,13,12.39,10.73
28,Istanbul,Turkey,54.08,58.74,81.4,39.68,5.06,26.49,22.44,13.01,13.98,146.74974874371858,52.85111111111111,,56.6,55.62358974358975,80.18695652173913,146.74974874371858,Poor,2023,1,8,14.26,10.42
29,Berlin,Germany,47.57,127.09,55.6,46.79,3.64,58.87,13.58,72.38,7.12,130.72010050251257,86.6809090909091,,41.36363636363637,64.55666666666667,52.70434782608696,130.72010050251257,Poor,2023,11,4,13.73,10.82
30,Rio de Janeiro,Brazil,84.59,41.29,96.59,46.31,9.14,105.35,37.41,26.21,18.6,166.02012644889356,38.23148148148148,,97.4,63.95358974358975,96.36760869565218,166.02012644889356,Unhealthy,2023,4,4,12.04,9.42
31,Seoul,South Korea,47.79,38.17,39.92,35.19,6.69,13.69,7.0,26.77,13.1,131.26180904522613,35.342592592592595,,72.9,,37.66037735849057,131.26180904522613,Poor,2023,1,14,11.62,10.14
32,Mexico City,Mexico,120.9,33.7,97.53,9.28,5.67,191.24,22.76,66.9,6.25,184.76817702845105,31.203703703703702,,62.7,13.257142857142856,97.36891304347829,184.76817702845105,Unhealthy,2023,5,8,14.2,11.91
33,Madrid,Spain,61.28,163.36,40.2,19.43,3.64,128.34,10.56,79.73,2.6,153.98440463645943,105.1377777777778,,41.36363636363637,27.757142857142856,37.9245283018868,153.98440463645943,Unhealthy,2023,6,28,17.11,8.79
34,Los Angeles,USA,56.85,174.8,56.22,13.99,7.85,196.95,24.84,57.9,4.97,151.69704952581665,110.8,,84.5,19.985714285714288,53.36478260869565,151.69704952581665,Unhealthy,2023,7,17,13.6,11.1
35,London,UK,53.81,196.76,38.28,15.76,9.3,54.07,21.17,93.67,4.6,146.0849246231156,121.6690909090909,,99.0,22.51428571428572,36.11320754716981,146.0849246231156,Poor,2023,7,6,14.74,9.75
36,Los Angeles,USA,149.74,50.31,31.21,28.64,8.16,19.81,2.64,18.87,16.16,199.65922023182296,46.583333333333336,,87.6,40.91428571428572,29.443396226415096,199.65922023182296,Unhealthy,2023,7,15,13.6,11.1
37,Toronto,Canada,72.01,191.78,95.75,21.45,2.42,181.34,10.24,42.57,12.95,159.5246575342466,119.20424242424242,,27.5,30.642857142857142,95.47282608695652,159.5246575342466,Unhealthy,2023,9,28,16.8,11.04
38,New York,USA,62.34,38.48,57.36,32.1,2.58,154.98,37.45,48.65,17.61,154.53171759747102,35.629629629629626,,29.318181818181817,45.85714285714286,54.579130434782606,154.53171759747102,Unhealthy,2023,10,12,14.43,10.45
39,Bangkok,Thailand,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29,198.0895679662803,17.76851851851852,,95.1,67.34589743589743,46.4622641509434,198.0895679662803,Unhealthy,2023,3,13,13.32,10.64
40,Madrid,Spain,29.11,43.8,58.04,4.54,5.25,137.61,18.7,72.8,3.03,86.77210300429185,40.55555555555555,,58.5,6.485714285714286,55.30347826086957,86.77210300429185,Moderate,2023,5,26,11.02,9.85
41,Mexico City,Mexico,51.47,137.97,97.83,3.45,7.12,194.18,-3.68,43.75,13.95,140.32311557788944,92.0659595959596,,77.2,4.928571428571429,97.68847826086956,140.32311557788944,Poor,2023,8,18,11.58,10.47
42,Dubai,UAE,115.42,112.95,32.17,25.88,1.52,59.51,-0.28,31.98,9.91,181.9386722866175,79.68232323232323,,17.272727272727273,36.97142857142857,30.349056603773587,181.9386722866175,Unhealthy,2023,11,3,13.53,10.59
43,Tokyo,Japan,62.02,110.1,81.69,38.72,7.55,93.17,16.39,53.11,19.18,154.36649104320338,78.27171717171717,,81.5,54.41743589743589,80.49586956521739,154.36649104320338,Unhealthy,2023,12,18,11.62,10.03
44,Rio de Janeiro,Brazil,107.32,60.56,54.25,9.31,5.85,53.98,-9.3,95.38,16.97,177.7563751317176,53.75191919191919,,64.5,13.3,51.266304347826086,177.7563751317176,Unhealthy,2023,3,25,18.14,12.15
45,Beijing,China,109.42,144.32,88.74,36.56,2.02,188.95,3.99,72.9,2.0,178.84067439409904,95.20888888888888,,22.954545454545453,51.70358974358975,88.00565217391303,178.84067439409904,Unhealthy,2023,6,12,11.75,10.26
46,London,UK,67.97,114.57,11.57,34.89,1.6,46.13,2.36,94.86,3.01,157.4386722866175,80.48414141414142,,18.181818181818183,49.84285714285714,10.915094339622645,157.4386722866175,Unhealthy,2023,10,27,12.18,9.62
47,Johannesburg,South Africa,35.41,134.39,6.99,5.4,0.77,134.92,28.65,49.11,7.49,,90.2940404040404,,8.75,7.714285714285715,6.59433962264151,90.2940404040404,Moderate,2023,10,9,12.9,9.66
48,Mumbai,India,53.54,101.44,96.54,21.05,3.31,187.25,10.27,95.18,3.96,145.42010050251258,73.98545454545454,,37.61363636363636,30.071428571428573,96.31434782608696,145.42010050251258,Poor,2023,2,15,15.35,8.37
49,Mexico City,Mexico,117.95,93.33,24.62,5.84,7.3,161.08,11.33,16.16,6.77,183.2449947312961,69.97141414141414,,79.0,8.342857142857143,23.226415094339625,183.2449947312961,Unhealthy,2023,4,11,14.16,9.8
50,Toronto,Canada,24.11,168.42,57.92,23.16,8.35,178.71,1.37,70.73,0.56,76.25708154506438,107.64222222222222,,89.5,33.08571428571429,55.17565217391304,107.64222222222222,Poor,2023,12,3,19.53,9.34
51,Berlin,Germany,138.71,29.36,56.09,32.84,9.67,106.91,11.45,67.73,14.08,193.96406743940992,27.185185185185183,,103.87241379310343,46.91428571428572,53.226304347826094,193.96406743940992,Unhealthy,2023,6,12,15.69,9.7
52,Paris,France,11.79,147.53,18.63,25.38,5.34,31.37,-8.57,98.65,16.23,49.125,96.79767676767676,,59.4,36.25714285714286,17.57547169811321,96.79767676767676,Moderate,2023,10,24,15.27,9.07
53,Cairo,Egypt,18.33,114.51,35.85,22.13,9.76,134.35,22.23,45.8,8.86,64.10171673819742,80.45444444444445,,105.39310344827584,31.614285714285717,33.820754716981135,105.39310344827584,Poor,2023,9,7,12.59,9.66
54,Johannesburg,South Africa,135.47,105.67,10.03,6.66,5.58,70.22,27.81,95.91,17.88,192.29114857744997,76.07909090909091,,61.8,9.514285714285714,9.462264150943396,192.29114857744997,Unhealthy,2023,4,6,14.13,10.18
55,Bangkok,Thailand,146.96,199.41,58.71,9.74,5.75,45.52,6.57,35.93,17.16,198.2238145416228,122.98070707070708,,63.5,13.914285714285716,56.01717391304348,198.2238145416228,Unhealthy,2023,9,10,12.83,10.64
56,Rio de Janeiro,Brazil,40.46,44.61,62.05,27.29,1.59,110.95,16.05,10.7,1.73,113.21306532663316,41.30555555555556,,18.06818181818182,38.98571428571429,59.575,113.21306532663316,Poor,2023,2,13,14.93,10.65
57,Rio de Janeiro,Brazil,85.89,100.87,45.18,20.98,0.86,157.35,33.0,17.35,15.49,166.6913593256059,73.70333333333333,,9.772727272727272,29.97142857142857,42.62264150943396,166.6913593256059,Unhealthy,2023,9,19,18.36,10.61
58,Rio de Janeiro,Brazil,69.11,66.95,93.83,9.47,7.44,85.1,-0.95,51.4,13.14,158.027291886196,56.91464646464647,,80.4,13.52857142857143,93.42760869565215,158.027291886196,Unhealthy,2023,3,12,18.14,12.15
59,Moscow,Russia,83.43,147.22,69.61,1.96,5.25,62.63,24.1,24.44,12.21,165.42118018967335,96.64424242424244,,58.5,2.8,67.62804347826088,165.42118018967335,Unhealthy,2023,10,28,14.92,9.81
60,Mumbai,India,89.49,22.58,77.46,46.77,8.69,37.15,-2.42,61.29,5.27,168.55015806111695,20.907407407407405,,92.9,64.53153846153846,75.99,168.55015806111695,Unhealthy,2023,10,18,13.68,10.97
61,Mexico City,Mexico,128.8,78.22,82.96,33.73,7.26,130.11,7.37,60.6,1.18,188.8472075869336,62.49272727272727,,78.6,48.18571428571428,81.84869565217392,188.8472075869336,Unhealthy,2023,4,14,14.16,9.8
62,Paris,France,74.27,22.48,28.34,5.19,4.51,85.87,25.05,12.73,18.83,160.69157007376185,20.814814814814817,,51.1,7.414285714285715,26.73584905660377,160.69157007376185,Unhealthy,2023,11,25,12.84,10.48
63,New York,USA,71.19,152.28,59.61,38.15,8.53,95.3,33.59,43.37,13.96,159.10126448893573,99.14868686868688,,91.3,53.70128205128205,56.975869565217394,159.10126448893573,Unhealthy,2023,3,11,14.13,11.42
64,Madrid,Spain,138.01,144.76,43.96,34.38,6.38,143.06,29.42,83.88,11.12,193.6026343519494,95.42666666666666,,69.8,49.11428571428572,41.47169811320755,193.6026343519494,Unhealthy,2023,3,24,14.38,10.02
65,Istanbul,Turkey,141.07,180.87,64.77,36.89,5.19,99.49,20.56,59.9,13.73,195.18261327713384,113.80434343434344,,57.900000000000006,52.118205128205126,62.47239130434782,195.18261327713384,Unhealthy,2023,3,26,14.84,10.52
66,Istanbul,Turkey,130.25,146.3,69.33,10.69,6.42,161.41,37.59,41.41,4.12,189.5958904109589,96.1888888888889,,70.2,15.27142857142857,67.32978260869565,189.5958904109589,Unhealthy,2023,6,19,19.22,9.91
67,Cairo,Egypt,65.66,193.75,82.38,28.86,0.57,179.54,10.24,56.47,19.62,156.2459430979979,120.17929292929291,,6.477272727272727,41.22857142857143,81.23086956521739,156.2459430979979,Unhealthy,2023,6,18,14.84,9.89
68,Sydney,Australia,100.49,158.5,64.92,5.32,3.17,114.58,3.86,98.74,4.98,174.22982086406745,102.73232323232324,,36.02272727272727,7.6,62.63217391304348,174.22982086406745,Unhealthy,2023,12,19,12.67,10.42
69,Istanbul,Turkey,20.37,159.92,30.59,45.4,4.91,72.99,39.57,94.78,16.01,68.39184549356224,103.4351515151515,,55.1,62.81025641025641,28.858490566037737,103.4351515151515,Poor,2023,9,1,15.25,11.16
70,Cairo,Egypt,119.63,80.06,77.28,32.73,0.64,11.24,26.71,53.75,12.07,184.11243414120128,63.40343434343434,,7.272727272727272,46.75714285714285,75.79826086956521,184.11243414120128,Unhealthy,2023,7,14,14.35,9.43
71,Los Angeles,USA,148.05,84.57,97.71,11.14,5.82,194.72,27.69,10.62,7.55,198.78661749209692,65.63565656565656,,64.2,15.914285714285716,97.56065217391304,198.78661749209692,Unhealthy,2023,4,24,14.11,9.77
72,Toronto,Canada,103.62,190.24,12.28,36.23,5.55,166.62,4.38,28.07,9.65,175.8459430979979,118.4420202020202,,61.5,51.28897435897436,11.584905660377355,175.8459430979979,Unhealthy,2023,12,24,19.53,9.34
