,City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,Air_Quality_Category
0,Bangkok,Thailand,2023-03-19,86.57,25.19,99.88,30.63,4.46,36.29,17.67,59.35,13.76,167.04246575342466,Unhealthy
1,Istanbul,Turkey,2023-02-16,50.63,97.39,48.14,8.71,3.4,144.16,3.46,67.51,6.36,138.25477386934674,Poor
2,Rio de Janeiro,Brazil,2023-11-13,130.21,57.22,98.51,9.92,0.12,179.31,25.29,29.3,12.87,189.57523709167546,Unhealthy
3,Mumbai,India,2023-03-16,119.7,130.52,10.96,33.03,7.74,38.65,23.15,99.97,7.71,184.1485774499473,Unhealthy
4,Paris,France,2023-04-04,55.2,36.62,76.85,21.85,2.0,67.09,16.02,90.28,14.16,149.50753768844223,Poor
5,Los Angeles,USA,2023-01-05,121.28,196.39,86.17,28.74,2.64,46.86,18.53,43.01,3.96,184.96438356164384,Unhealthy
6,Tokyo,Japan,2023-09-17,118.76,15.69,12.99,39.05,3.04,15.75,-1.37,17.76,17.66,183.6632244467861,Unhealthy
7,New York,USA,2023-11-23,72.52,23.43,92.01,15.26,4.57,106.5,32.14,76.57,9.42,159.78798735511063,Unhealthy
8,Tokyo,Japan,2023-09-21,131.46,145.57,10.13,25.1,9.08,181.72,-6.2,71.42,16.81,190.22065331928346,Unhealthy
9,London,UK,2023-09-13,64.71,92.84,92.98,36.4,3.68,88.44,19.8,45.92,2.56,155.7554267650158,Unhealthy
10,Rio de Janeiro,Brazil,2023-09-11,90.0,198.93,38.1,31.19,8.11,26.21,28.07,65.74,13.45,168.81348788198102,Unhealthy
11,Rio de Janeiro,Brazil,2023-04-26,17.13,139.82,73.14,15.31,1.09,140.73,2.07,29.88,1.85,92.98161616161616,Moderate
12,Mumbai,India,2023-08-28,65.36,133.71,67.95,22.34,7.46,156.39,-4.71,57.95,13.95,156.09104320337198,Unhealthy
13,Seoul,South Korea,2023-01-13,57.67,125.1,72.26,44.36,2.08,118.49,-4.38,41.01,19.08,152.1204425711275,Unhealthy
14,Cairo,Egypt,2023-06-18,59.3,133.7,50.14,3.48,8.96,43.33,9.14,47.53,15.13,152.96206533192836,Unhealthy
15,Paris,France,2023-05-15,135.69,165.03,30.31,32.65,6.39,130.56,15.54,31.64,14.15,192.40474183350895,Unhealthy
16,Cairo,Egypt,2023-07-24,47.14,49.91,78.01,35.11,5.85,30.43,-0.89,18.73,10.85,129.66130653266333,Poor
17,Mexico City,Mexico,2023-01-26,82.4,196.86,20.76,47.75,9.57,21.74,29.97,68.17,10.87,164.88935721812436,Unhealthy
18,Istanbul,Turkey,2023-06-07,12.24,16.91,62.96,2.67,4.51,90.01,22.86,44.7,11.27,60.544347826086955,Moderate
19,Berlin,Germany,2023-11-02,87.33,186.95,5.26,12.98,4.48,75.76,17.93,37.55,9.89,167.43487881981034,Unhealthy
20,Bangkok,Thailand,2023-10-25,117.5,78.71,65.64,23.42,6.84,172.34,7.16,53.45,14.53,183.0126448893572,Unhealthy
21,Beijing,China,2023-10-26,39.98,47.38,84.35,44.59,4.92,138.44,15.74,83.78,12.57,112.03115577889446,Poor
22,Sydney,Australia,2023-07-03,137.09,180.61,6.26,14.89,5.17,113.12,27.42,11.51,9.84,193.12760800842995,Unhealthy
23,Dubai,UAE,2023-04-21,80.56,129.36,18.31,12.31,9.08,91.59,20.92,26.16,18.17,163.93930453108536,Unhealthy
24,New York,USA,2023-06-26,82.4,80.55,91.9,46.52,0.27,146.03,30.84,49.96,17.45,164.88935721812436,Unhealthy
25,Seoul,South Korea,2023-01-22,96.03,170.57,18.43,20.3,0.55,141.03,-4.44,74.21,17.44,171.92697576396208,Unhealthy
26,Istanbul,Turkey,2023-08-19,20.37,119.29,18.03,31.37,2.86,140.94,-3.15,43.84,10.72,82.82030303030304,Moderate
27,Toronto,Canada,2023-03-13,63.18,196.52,29.87,3.01,6.29,98.83,10.36,50.88,9.06,154.9654373024236,Unhealthy
28,Istanbul,Turkey,2023-01-08,54.08,58.74,81.4,39.68,5.06,26.49,22.44,13.01,13.98,146.74974874371858,Poor
29,Berlin,Germany,2023-11-04,47.57,127.09,55.6,46.79,3.64,58.87,13.58,72.38,7.12,130.72010050251257,Poor
30,Rio de Janeiro,Brazil,2023-04-04,84.59,41.29,96.59,46.31,9.14,105.35,37.41,26.21,18.6,166.02012644889356,Unhealthy
31,Seoul,South Korea,2023-01-14,47.79,38.17,39.92,35.19,6.69,13.69,7.0,26.77,13.1,131.26180904522613,Poor
32,Mexico City,Mexico,2023-05-08,120.9,33.7,97.53,9.28,5.67,191.24,22.76,66.9,6.25,184.76817702845102,Unhealthy
